Salary,Position,Age,GP,GS,3P,TRB,AST,STL,BLK,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,STL%,BLK%,TOV%,USG%,WS,eficiencia,tier_time
48070014,2,34,56,56,3.3,6.1,6.049999999999999,0.9,0.4,2.1,23.099999999999998,24.1,0.656,0.564,0.248,2.3,9.7,1.3,0.9,12.5,31.0,7.8,36.55,3
47345760,2,32,34,3,1.0,2.7,5.2,0.8,0.4,1.7,11.4,13.6,0.498,0.322,0.334,2.1,6.8,1.8,1.4,17.1,27.0,0.3,20.5,3
47080179,2,34,73,24,1.2,5.8,6.049999999999999,1.0,0.5,2.2,15.9,16.1,0.513,0.289,0.317,4.7,10.8,1.7,1.3,18.4,27.7,1.9,29.25,3
44474988,1,38,55,54,2.2,8.3,6.049999999999999,0.9,0.6,1.6,23.099999999999998,23.9,0.583,0.309,0.268,3.7,12.5,1.2,1.4,11.6,31.424999999999997,5.6,38.95,3
44119845,1,34,47,47,2.0,6.7,5.0,0.7,1.1,2.1,23.099999999999998,25.725000000000005,0.677,0.267,0.387,1.2,10.5,1.0,3.4,13.4,30.7,6.8,36.6,3
43279250,4,29,50,50,1.6,3.9,5.4,0.9,0.7,2.1,23.099999999999998,19.7,0.593,0.249,0.26,2.8,6.5,1.3,1.7,12.9,29.2,3.4,34.0,1
42492492,3,31,52,50,2.0,6.5,3.9,1.4,0.5,1.6,23.099999999999998,23.9,0.623,0.287,0.32,3.7,10.8,2.0,1.4,8.1,27.0,7.1,35.4,3
42492492,3,32,56,56,2.8,6.1,5.1,1.5,0.4,2.8,23.099999999999998,19.6,0.588,0.424,0.293,2.6,9.9,2.1,0.9,13.4,29.5,4.6,36.199999999999996,3
42492492,1,28,63,63,0.7,8.4,5.7,0.8,0.8,3.1,23.099999999999998,25.725000000000005,0.605,0.134,0.5935,7.3,19.1,1.2,2.1,13.2,31.424999999999997,8.425,38.79999999999999,3
42492492,2,32,58,58,3.3,4.8,6.049999999999999,0.9,0.3,1.9,23.099999999999998,25.725000000000005,0.645,0.547,0.464,2.4,7.6,1.2,0.8,11.7,31.424999999999997,8.425,35.14999999999999,2
40600080,3,32,69,69,3.3,4.1,2.4,0.7,0.4,1.9,21.9,14.7,0.576,0.584,0.105,1.9,6.9,1.0,1.1,8.6,26.4,3.1,29.499999999999996,3
38917057,2,30,60,60,3.1,5.1,5.5,1.1,0.8,2.8,23.099999999999998,22.4,0.613,0.412,0.227,3.0,7.7,1.4,1.7,8.8,28.9,7.4,35.599999999999994,3
38172414,0,30,70,70,0.0,8.4,1.2,0.8,1.1,3.0,13.4,18.9,0.675,0.005,0.5935,12.2,21.125,1.2,3.9,14.9,16.3,7.8,24.900000000000002,2
37984276,3,31,33,19,1.5,4.2,4.9,0.7,0.2,2.1,15.1,17.4,0.551,0.399,0.251,3.8,9.1,1.4,0.5,13.6,27.4,1.9,25.099999999999998,3
37980720,0,29,56,54,0.3,8.4,2.6,1.1,1.1,2.6,23.099999999999998,25.725000000000005,0.627,0.077,0.462,11.3,19.7,1.5,4.824999999999999,9.5,28.4,8.425,36.300000000000004,3
