Salary,Position,Age,GP,GS,MP,FG,3P,2P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,VORP
48070014,PG,34,56,56,34.7,8.35,3.3,5.1,3.8750000000000004,6.1,6.049999999999999,0.9,0.4,3.0,2.1,23.099999999999998,24.1,0.656,0.564,0.248,2.3,16.8,9.7,30.0,1.3,0.9,12.5,31.0,4.5,2.0,7.8,2.1500000000000004
47345760,PG,32,34,3,22.2,4.1,1.0,3.1,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4,13.6,0.498,0.322,0.334,2.1,11.4,6.8,33.825,1.8,1.4,17.1,27.0,-0.4,0.7,0.3,0.1
47080179,PG,34,73,24,29.1,5.9,1.2,4.7,2.8,5.8,6.049999999999999,1.0,0.5,3.0,2.2,15.9,16.1,0.513,0.289,0.317,4.7,16.5,10.8,33.825,1.7,1.3,18.4,27.7,-0.6,2.6,1.9,1.2
44474988,PF,38,55,54,35.5,8.35,2.2,6.8999999999999995,3.8750000000000004,8.3,6.049999999999999,0.9,0.6,3.0,1.6,23.099999999999998,23.9,0.583,0.309,0.268,3.7,20.8,12.5,33.5,1.2,1.4,11.6,31.424999999999997,3.2,2.4,5.6,2.1500000000000004
44119845,PF,34,47,47,35.6,8.35,2.0,6.8999999999999995,3.8750000000000004,6.7,5.0,0.7,1.1,3.0,2.1,23.099999999999998,25.725000000000005,0.677,0.267,0.387,1.2,19.5,10.5,24.5,1.0,3.4,13.4,30.7,4.5,2.1,6.8,2.1500000000000004
43279250,SG,29,50,50,33.5,8.35,1.6,6.8999999999999995,3.8,3.9,5.4,0.9,0.7,2.9,2.1,23.099999999999998,19.7,0.593,0.249,0.26,2.8,9.9,6.5,26.6,1.3,1.7,12.9,29.2,2.2,1.2,3.4,1.6
42492492,SF,31,52,50,33.6,8.35,2.0,6.6,3.8750000000000004,6.5,3.9,1.4,0.5,1.7,1.6,23.099999999999998,23.9,0.623,0.287,0.32,3.7,17.8,10.8,19.6,2.0,1.4,8.1,27.0,4.5,2.2,7.1,2.1500000000000004
42492492,SF,32,56,56,34.6,8.2,2.8,5.4,3.8750000000000004,6.1,5.1,1.5,0.4,3.0,2.8,23.099999999999998,19.6,0.588,0.424,0.293,2.6,17.0,9.9,24.2,2.1,0.9,13.4,29.5,2.3,2.3,4.6,2.1500000000000004
42492492,PF,28,63,63,32.1,8.35,0.7,6.8999999999999995,3.8750000000000004,8.4,5.7,0.8,0.8,3.0,3.1,23.099999999999998,25.725000000000005,0.605,0.134,0.5935,7.3,29.825000000000003,19.1,33.2,1.2,2.1,13.2,31.424999999999997,4.5,3.7,8.425,2.1500000000000004
42492492,PG,32,58,58,36.3,8.35,3.3,5.4,3.8750000000000004,4.8,6.049999999999999,0.9,0.3,3.0,1.9,23.099999999999998,25.725000000000005,0.645,0.547,0.464,2.4,12.8,7.6,33.825,1.2,0.8,11.7,31.424999999999997,4.5,0.8,8.425,2.1500000000000004
40600080,SF,32,69,69,33.0,7.9,3.3,3.6,1.7,4.1,2.4,0.7,0.4,1.8,1.9,21.9,14.7,0.576,0.584,0.105,1.9,11.7,6.9,11.0,1.0,1.1,8.6,26.4,1.2,1.9,3.1,1.0
38917057,PG,30,60,60,37.4,8.35,3.1,6.8,3.8750000000000004,5.1,5.5,1.1,0.8,2.1,2.8,23.099999999999998,22.4,0.613,0.412,0.227,3.0,12.3,7.7,25.4,1.4,1.7,8.8,28.9,4.5,2.0,7.4,2.1500000000000004
38172414,C,30,70,70,30.7,5.1,0.0,5.1,3.1,8.4,1.2,0.8,1.1,1.7,3.0,13.4,18.9,0.675,0.005,0.5935,12.2,29.8,21.125,5.6,1.2,3.9,14.9,16.3,4.3,3.5,7.8,1.4
37984276,SF,31,33,19,24.3,5.4,1.5,3.8,2.8,4.2,4.9,0.7,0.2,2.2,2.1,15.1,17.4,0.551,0.399,0.251,3.8,14.0,9.1,30.7,1.4,0.5,13.6,27.4,1.0,1.0,1.9,0.6
37980720,C,29,56,54,34.0,8.35,0.3,6.8999999999999995,3.8750000000000004,8.4,2.6,1.1,1.1,2.2,2.6,23.099999999999998,25.725000000000005,0.627,0.077,0.462,11.3,27.6,19.7,13.0,1.5,4.824999999999999,9.5,28.4,4.5,3.4,8.425,2.1500000000000004
37653300,PF,33,64,64,33.4,7.5,0.6,6.8999999999999995,3.8750000000000004,5.9,5.3,1.55,0.3,1.6,1.3,22.9,25.725000000000005,0.647,0.116,0.5935,7.5,13.3,10.3,27.1,2.7,1.0,8.2,25.6,4.5,2.9,8.425,2.1500000000000004
37633050,SF,30,74,74,32.9,5.7,1.7,4.0,1.5,5.7,2.5,0.9,0.5,1.2,2.0,14.7,14.8,0.602,0.383,0.153,3.3,17.0,10.3,11.4,1.4,1.5,9.0,18.2,3.1,2.8,5.9,1.7
37281261,PG,32,9,1,16.0,2.7,0.8,1.9,1.9,1.8,2.1,0.2,0.2,0.4,1.2,8.0,15.0,0.543,0.491,0.368,2.4,10.6,6.5,20.1,0.7,1.2,5.7,22.1,0.2,0.1,0.3,0.1
37096500,PG,24,73,73,34.8,8.2,2.1,6.1,3.8750000000000004,3.0,6.049999999999999,1.1,0.1,3.0,1.4,23.099999999999998,22.0,0.573,0.331,0.46,2.4,7.0,4.7,33.825,1.5,0.3,15.2,31.424999999999997,4.5,1.4,6.7,2.1500000000000004
37096500,SG,27,77,77,35.9,8.35,2.6,6.1,3.8750000000000004,4.5,4.2,0.9,0.2,2.5,2.1,23.099999999999998,19.0,0.607,0.392,0.308,1.7,12.2,7.1,18.7,1.2,0.6,11.0,28.3,4.2,2.9,7.1,2.1500000000000004
35448672,PG,26,42,33,26.3,3.2,0.0,3.2,0.6,6.3,6.049999999999999,1.3,0.6,2.3,3.3,6.9,13.4,0.559,0.009,0.243,4.2,22.2,13.4,31.3,2.4,1.9,23.25,14.3,0.5,1.7,2.2,0.7
35448672,PF,28,71,71,37.4,8.35,1.3,6.8999999999999995,3.8750000000000004,7.8,5.8,0.9,0.5,2.4,3.2,23.099999999999998,20.3,0.565,0.219,0.361,5.2,19.6,11.9,24.9,1.2,1.3,10.0,27.2,4.5,2.6,7.8,2.1500000000000004
35096500,C,26,62,62,29.4,6.5,1.5,5.0,3.5,7.5,1.4,0.6,1.1,1.7,3.5,18.0,20.0,0.651,0.34,0.377,5.4,22.9,14.2,7.5,0.9,4.824999999999999,10.8,22.0,3.4,2.0,5.4,1.9
34319520,PG,32,67,65,32.6,7.3,2.4,5.0,2.3,5.1,6.049999999999999,1.2,0.4,2.9,1.7,19.3,19.2,0.586,0.402,0.173,3.9,12.0,8.1,33.825,1.7,0.9,15.2,25.0,3.9,2.8,6.7,2.1500000000000004
33833400,PF,27,29,29,33.0,7.3,2.1,5.2,3.8750000000000004,8.1,4.8,0.7,0.6,3.0,3.7000000000000006,20.8,18.8,0.618,0.383,0.315,5.7,21.6,13.8,22.0,1.0,1.5,15.0,25.6,1.5,1.1,2.7,1.2
33833400,SG,26,53,53,34.6,8.35,2.1,6.8999999999999995,3.8750000000000004,4.5,5.5,1.0,0.3,2.7,3.0,23.099999999999998,22.0,0.601,0.296,0.336,2.7,12.0,7.2,27.3,1.4,0.9,10.6,31.424999999999997,4.2,1.9,6.0,2.1500000000000004
33616770,SF,27,37,37,32.2,6.8,2.4,4.4,1.2,5.0,2.3,1.2,0.8,1.3,2.9,17.1,14.7,0.564,0.425,0.136,5.7,11.3,8.6,10.5,1.8,2.1,7.9,21.5,1.0,1.3,2.3,0.5
33616770,C,28,66,66,34.6,8.35,1.0,6.8999999999999995,3.8750000000000004,8.4,4.2,1.0,1.1,3.0,3.1,23.099999999999998,25.725000000000005,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,31.424999999999997,4.5,3.9,8.425,2.1500000000000004
33333333,SG,31,75,75,35.3,7.8,2.8,5.0,2.4,4.4,5.7,0.9,0.5,2.4,2.0,20.9,15.6,0.541,0.404,0.177,2.4,11.7,7.0,25.1,1.3,1.4,11.2,26.4,1.5,2.8,4.3,1.9
33000000,PG,33,58,58,36.8,6.4,2.8,3.6,3.8750000000000004,6.1,6.049999999999999,1.2,0.5,3.0,1.9,21.0,21.6,0.607,0.496,0.429,2.3,17.1,9.8,33.825,1.6,1.4,16.3,25.0,4.5,2.6,8.4,2.1500000000000004
